date,exact value,value
12/12/2012,0.30178986,0.302
13/12/2012,0.291971875,0.292
14/12/2012,0.292530729,0.293
15/12/2012,0.240994791,0.241
16/12/2012,0.251971875,0.252
17/12/2012,0.241472917,0.241
18/12/2012,0.245270235,0.245
19/12/2012,0.238751562,0.239
20/12/2012,0.245614479,0.246
21/12/2012,0.235043229,0.235
22/12/2012,0.230148039,0.23
23/12/2012,0.22020625,0.22
24/12/2012,0.22264549,0.223
25/12/2012,0.257257812,0.257
26/12/2012,0.259454687,0.259
27/12/2012,0.266431771,0.266
28/12/2012,0.263330667,0.263
29/12/2012,0.229796354,0.23
30/12/2012,0.226876005,0.227
31/12/2012,0.248345313,0.248
1/01/2013,0.230375521,0.23
2/01/2013,0.257074479,0.257
3/01/2013,0.233281771,0.233
4/01/2013,0.234475089,0.234
5/01/2013,0.238814062,0.239
6/01/2013,0.247303646,0.247
7/01/2013,0.234247917,0.234
8/01/2013,0.228678646,0.229
9/01/2013,0.220181449,0.22
10/01/2013,0.270442187,0.27
11/01/2013,0.268716069,0.269
12/01/2013,0.260092187,0.26
13/01/2013,0.294350521,0.294
14/01/2013,0.315923438,0.316
15/01/2013,0.291993229,0.292
16/01/2013,0.303641146,0.304
17/01/2013,0.328594792,0.329
18/01/2013,0.338868639,0.339
19/01/2013,0.333013021,0.333
20/01/2013,0.362572396,0.363
21/01/2013,0.320258333,0.32
22/01/2013,0.347261458,0.347
23/01/2013,0.323408333,0.323
24/01/2013,0.32168177,0.322
25/01/2013,0.347048197,0.347
26/01/2013,0.3184125,0.318
27/01/2013,0.308211979,0.308
28/01/2013,0.298704167,0.299
29/01/2013,0.268532546,0.269
30/01/2013,0.260986458,0.261
31/01/2013,0.266588542,0.267
1/02/2013,0.264983854,0.265
2/02/2013,0.2539,0.254
3/02/2013,0.293014063,0.293
4/02/2013,0.25878125,0.259
5/02/2013,0.262180208,0.262
6/02/2013,0.270582813,0.271
7/02/2013,0.268955386,0.269
8/02/2013,0.272248438,0.272
9/02/2013,0.279764583,0.28
10/02/2013,0.299361824,0.299
11/02/2013,0.30871404,0.309
12/02/2013,0.299377083,0.299
13/02/2013,0.29309375,0.293
14/02/2013,0.271369271,0.271
15/02/2013,0.261619271,0.262
16/02/2013,0.24650625,0.247
17/02/2013,0.247616146,0.248
18/02/2013,0.252283333,0.252
19/02/2013,0.256871354,0.257
20/02/2013,0.252252604,0.252
21/02/2013,0.287298438,0.287
22/02/2013,0.294397396,0.294
23/02/2013,0.312583854,0.313
24/02/2013,0.308220833,0.308
25/02/2013,0.299539889,0.3
26/02/2013,0.285615625,0.286
27/02/2013,0.289136458,0.289
28/02/2013,0.290132292,0.29
1/03/2013,0.292292188,0.292
2/03/2013,0.283985938,0.284
3/03/2013,0.299397396,0.299
4/03/2013,0.263823008,0.264
5/03/2013,0.249845312,0.25
6/03/2013,0.257435417,0.257
7/03/2013,0.234651563,0.235
8/03/2013,0.245308854,0.245
9/03/2013,0.260927083,0.261
10/03/2013,0.307739662,0.308
11/03/2013,0.314582292,0.315
12/03/2013,0.296713021,0.297
13/03/2013,0.289670312,0.29
14/03/2013,0.281040625,0.281
15/03/2013,0.276185937,0.276
16/03/2013,0.253093771,0.253
17/03/2013,0.280433333,0.28
18/03/2013,0.305944271,0.306
19/03/2013,0.282586979,0.283
20/03/2013,0.294929687,0.295
21/03/2013,0.27194375,0.272
22/03/2013,0.274672396,0.275
23/03/2013,0.287962888,0.288
24/03/2013,0.324473438,0.324
25/03/2013,0.308098958,0.308
26/03/2013,0.314446765,0.314
27/03/2013,0.297021355,0.297
28/03/2013,0.283946354,0.284
29/03/2013,0.277379167,0.277
30/03/2013,0.265682292,0.266
31/03/2013,0.274628125,0.275
1/04/2013,0.3005,0.301
2/04/2013,0.284202604,0.284
3/04/2013,0.293295313,0.293
4/04/2013,0.286649479,0.287
5/04/2013,0.283395833,0.283
6/04/2013,0.272878646,0.273
